"","people_id","work_id"
"1",6170,120
"2",4988,70
"3",5265,1104
"4",8104,5078
"5",2567,768
"6",7629,2357
"7",4879,2476
"8",6333,2456
"9",4497,525
"10",2496,400
"11",2281,4951
"12",4243,4460
"13",937,4153
"14",1088,2807
"15",1250,1021
"16",145,755
"17",7413,675
"18",1743,2144
"19",2684,4860
"20",157,5270
"21",1188,196
"22",2564,2149
"23",2630,181
"24",270,3247
"25",343,1505
"26",4319,3313
"27",6787,729
"28",1229,3180
"29",4116,3823
"30",7821,4536
"31",8618,3791
"32",3827,1090
"33",296,4280
"34",7421,3385
"35",5162,2678
"36",3784,5236
"37",1370,2591
"38",333,1071
"39",280,5310
"40",2564,3622
"41",7261,5279
"42",2309,4623
"43",323,2322
"44",5426,841
"45",2868,2618
"46",6599,4900
"47",8605,5173
"48",9065,4304
"49",2197,1033
"50",7995,2046
"51",1760,2855
"52",348,4646
"53",6351,3857
"54",8778,284
"55",8117,3541
"56",2425,678
"57",361,3023
"58",9597,5221
"59",356,380
"60",1993,578
"61",3532,3305
"62",4803,1985
"63",7375,156
"64",2347,4766
"65",2816,5070
"66",3876,5297
"67",4897,5459
"68",9540,400
"69",9979,4552
"70",2360,2884
"71",7881,1039
"72",817,2432
"73",7120,4702
"74",8822,519
"75",3776,1772
"76",9591,591
"77",1909,2708
"78",1776,4772
"79",718,1877
"80",5747,338
"81",1053,1615
"82",2554,2130
"83",8298,4729
"84",3339,5177
"85",2933,2064
"86",4954,3500
"87",5366,1482
"88",4769,4505
"89",3083,3795
"90",4842,3143
"91",1061,3154
"92",2723,357
"93",5606,3907
"94",8186,919
"95",6111,1344
"96",3129,3869
"97",3693,3980
"98",1600,4882
"99",4842,1146
"100",6600,5431
"101",2232,2537
"102",5930,1946
"103",6461,4981
"104",7008,4230
"105",606,4177
"106",7444,364
"107",1908,1176
"108",3693,5333
"109",5058,1502
"110",2776,1236
"111",3590,2958
"112",2584,3124
"113",2066,433
"114",107,532
"115",59,2105
"116",4664,3361
"117",9303,3229
"118",8809,515
"119",3428,3961
"120",2420,5419
"121",1792,3786
"122",4599,4554
"123",7676,1386
"124",6571,3065
"125",3169,244
"126",7404,1056
"127",657,1391
"128",6060,3201
"129",6151,1813
"130",5987,3431
"131",6756,4343
"132",7363,1862
"133",8798,130
"134",7007,2313
"135",7761,2628
"136",7190,587
"137",3834,437
"138",5091,499
"139",8503,4413
"140",6062,2034
"141",2388,5114
"142",3025,3307
"143",6999,3963
"144",5759,2432
"145",4392,42
"146",9636,63
"147",5922,527
"148",2092,3221
"149",2024,4463
"150",4427,1663
"151",5242,5391
"152",6376,5201
"153",7001,1960
"154",8450,3439
"155",1880,3449
"156",2949,696
"157",246,878
"158",4001,1817
"159",2192,4787
"160",291,1792
"161",5616,2917
"162",251,2766
"163",2595,756
"164",665,490
"165",1031,4914
"166",879,2277
"167",7328,4722
"168",4992,2456
"169",2614,188
"170",5660,3856
"171",1255,1565
"172",7785,920
"173",2257,3026
"174",7735,3119
"175",8662,350
"176",6730,615
"177",6755,4430
"178",8834,4609
"179",9068,918
"180",6764,2057
"181",1644,96
"182",3848,5033
"183",1344,2470
"184",9975,746
"185",8656,1464
"186",1011,3887
"187",4046,1464
"188",9522,2221
"189",6502,180
"190",6432,3219
"191",4399,5002
"192",4960,924
"193",6675,5319
"194",5166,4876
"195",4562,2575
"196",6194,1693
"197",6696,3899
"198",5175,1792
"199",326,1532
"200",6475,1487
"201",4660,1338
"202",9220,3483
"203",7338,2113
"204",8599,3536
"205",647,4062
"206",8468,2394
"207",3999,628
"208",2271,3453
"209",2384,4582
"210",8605,1336
"211",8457,2304
"212",3249,397
"213",9333,1785
"214",4416,1234
"215",9397,4974
"216",5415,2291
"217",6433,5265
"218",4373,4464
"219",4638,2633
"220",576,3103
"221",1149,1510
"222",3223,4235
"223",391,1910
"224",7083,525
"225",9205,738
"226",1231,1557
"227",7646,2243
"228",6223,4281
"229",6871,432
"230",4075,2105
"231",480,221
"232",6659,624
"233",5060,3446
"234",7352,1464
"235",8480,686
"236",5369,4043
"237",3075,3634
"238",1084,4920
"239",381,5445
"240",6788,686
"241",8227,663
"242",3976,4501
"243",5697,3297
"244",1131,3841
"245",6374,3744
"246",1319,5197
"247",6242,2082
"248",7576,4436
"249",1903,3394
"250",3925,5160
"251",8830,2046
"252",8184,4215
"253",4115,537
"254",6873,2338
"255",2694,1759
"256",1634,3624
"257",7195,2688
"258",731,2267
"259",299,2303
"260",8934,161
"261",7131,1697
"262",4041,5222
"263",3222,2476
"264",4838,4237
"265",1655,1501
"266",7287,517
"267",2214,304
"268",7480,4176
"269",8041,3101
"270",3557,931
"271",7401,5052
"272",9277,2293
"273",5736,3297
"274",3845,5038
"275",18,1791
"276",3484,3423
"277",5420,2377
"278",9955,537
"279",5024,1845
"280",8736,3992
"281",3592,3135
"282",838,219
"283",1903,864
"284",9102,4742
"285",4769,4146
"286",5801,4997
"287",8702,3472
"288",1919,3869
"289",8120,5338
"290",4256,3725
"291",5394,1689
"292",6644,2450
"293",4505,5206
"294",1322,2907
"295",2679,3210
"296",2836,2092
"297",8377,2859
"298",6038,335
"299",7328,3567
"300",2350,931
"301",5552,2813
"302",3672,767
"303",6406,287
"304",1500,1832
"305",2948,934
"306",7321,5109
"307",1198,2235
"308",3171,3065
"309",1646,3682
"310",2649,1545
"311",2342,3935
"312",684,1848
"313",303,791
"314",314,704
"315",1053,1608
"316",5495,4985
"317",9741,229
"318",5421,5193
"319",3815,2384
"320",3187,894
"321",1760,2981
"322",6804,4747
"323",3400,1015
"324",5795,3975
"325",3968,2375
"326",986,1563
"327",3626,5028
"328",3030,452
"329",6128,3907
"330",6359,1514
"331",7692,5172
"332",8714,1517
"333",2766,3967
"334",4820,5312
"335",1026,3979
"336",2586,2684
"337",3980,1851
"338",9763,1034
"339",1742,4601
"340",896,3145
"341",1667,751
"342",667,248
"343",5282,1079
"344",7921,2242
"345",188,3032
"346",4051,969
"347",2196,3471
"348",156,5261
"349",5935,1621
"350",7668,222
"351",3792,1904
"352",8934,4549
"353",7185,2586
"354",9820,3411
"355",1880,2987
"356",348,2666
"357",6737,411
"358",9236,756
"359",8810,4151
"360",2111,821
"361",4915,2911
"362",586,2865
"363",8308,2988
"364",6760,2331
"365",786,5206
"366",4440,30
"367",8805,3841
"368",4877,1305
"369",1827,1375
"370",6849,4854
"371",2707,4941
"372",5375,1461
"373",3687,1933
"374",1174,3119
"375",8693,2555
"376",9197,5398
"377",3946,4844
"378",4736,2012
"379",3396,2494
"380",8206,4485
"381",2836,1760
"382",4846,386
"383",1131,3041
"384",4956,513
"385",4997,1690
"386",451,4599
"387",2024,2321
"388",3007,2690
"389",352,977
"390",4760,3922
"391",6907,1381
"392",7569,3734
"393",2730,4412
"394",6887,3477
"395",2461,2053
"396",3891,2159
"397",7797,527
"398",2717,1536
"399",8705,3550
"400",4510,1362
"401",9639,320
"402",3195,137
"403",8415,4596
"404",7673,3418
"405",9070,2070
"406",3214,5207
"407",8285,327
"408",6065,1770
"409",1850,3384
"410",7774,4658
"411",4167,5260
"412",1839,2417
"413",3114,5463
"414",4337,2019
"415",4539,281
"416",2994,2029
"417",5617,597
"418",3006,3545
"419",9677,646
"420",3529,5278
"421",6324,3368
"422",4017,1999
"423",8863,2655
"424",7204,914
"425",3939,465
"426",3177,399
"427",1199,2797
"428",8250,2893
"429",4563,2206
"430",9840,4958
"431",1658,138
"432",3984,1866
"433",5789,1187
"434",8183,385
"435",710,5205
"436",8667,4708
"437",9337,2182
"438",3955,459
"439",9710,2938
"440",2602,3279
"441",485,370
"442",308,5078
"443",2763,616
"444",5748,1065
"445",212,4779
"446",3444,2625
"447",9960,189
"448",3373,2402
"449",7054,3654
"450",8895,3486
"451",2963,2225
"452",8622,5197
"453",6646,3630
"454",8974,5442
"455",9233,2257
"456",9703,3181
"457",2982,1428
"458",4384,1628
"459",4447,3413
"460",4322,3205
"461",7911,5203
"462",566,3078
"463",4567,1748
"464",6195,2625
"465",9843,306
"466",1410,4858
"467",7192,4783
"468",3925,997
"469",8881,1307
"470",9830,694
"471",5344,5332
"472",9950,2802
"473",4518,3830
"474",5922,4943
"475",6586,2292
"476",6216,3802
"477",4471,2781
"478",2537,196
"479",96,4964
"480",8660,169
"481",5620,4617
"482",9931,682
"483",1553,701
"484",8580,4463
"485",5069,4522
"486",1543,490
"487",7221,2495
"488",3781,4366
"489",8557,4694
"490",8706,4932
"491",6144,2185
"492",6473,2239
"493",8499,4594
"494",2830,2555
"495",1287,2858
"496",7495,4260
"497",6020,4802
"498",2443,4676
"499",9289,3852
"500",7359,352
"501",880,3989
"502",2268,1068
"503",3891,4065
"504",6361,4258
"505",22,385
"506",1338,5409
"507",7728,3558
"508",7753,4196
"509",6589,3723
"510",4980,2551
"511",33,105
"512",7792,242
"513",4729,3212
"514",6369,3287
"515",6911,1736
"516",2946,4727
"517",3758,907
"518",7184,1236
"519",2334,3688
"520",3113,5423
"521",8116,2344
"522",763,1310
"523",3602,4789
"524",2919,1519
"525",7779,4751
"526",2662,2943
"527",5668,5192
"528",3124,1304
"529",1493,5210
"530",3412,5193
"531",1852,3967
"532",8215,537
"533",6616,4979
"534",4757,3937
"535",1528,1857
"536",2818,5354
"537",844,5320
"538",9027,2902
"539",6459,2109
"540",5777,2420
"541",3295,5068
"542",473,460
"543",9384,4920
"544",9093,3196
"545",7698,5304
"546",1384,2525
"547",1209,503
"548",2333,4765
"549",4899,219
"550",3031,3575
"551",5375,1233
"552",6547,5342
"553",9425,3598
"554",9014,1765
"555",1972,1216
