"","location_id","work_type","high_inter","hrs_inter"
"1",764,"homemaker",1,19
"2",920,"homemaker",1,19
"3",646,"homemaker",1,19
"4",49,"homemaker",1,19
"5",944,"homemaker",1,19
"6",817,"homemaker",1,19
"7",825,"homemaker",1,19
"8",878,"hospital",1,3
"9",871,"hospital",1,3
"10",383,"hospital",1,3
"11",126,"hospital",1,3
"12",954,"hospital",1,3
"13",114,"hospital",1,3
"14",472,"hospital",1,3
"15",748,"hospital",1,3
"16",997,"finance",0,15
"17",393,"finance",0,15
"18",750,"finance",0,15
"19",473,"finance",0,15
"20",237,"finance",0,15
"21",680,"finance",0,15
"22",605,"finance",0,15
"23",550,"finance",0,15
"24",629,"finance",0,15
"25",397,"service",1,24
"26",132,"service",1,24
"27",469,"service",1,24
"28",335,"service",1,24
"29",339,"consultency",1,21
"30",610,"consultency",1,21
"31",142,"consultency",1,21
"32",83,"consultency",1,21
"33",870,"homemaker",1,3
"34",309,"university",1,16
"35",440,"university",1,16
"36",158,"university",1,16
"37",111,"university",1,16
"38",581,"labor",1,18
"39",450,"labor",1,18
"40",458,"labor",1,18
"41",283,"labor",1,18
"42",278,"labor",1,18
"43",763,"labor",1,18
"44",818,"labor",1,18
"45",993,"labor",1,18
"46",784,"labor",1,22
"47",827,"labor",1,22
"48",47,"labor",1,22
"49",904,"labor",1,22
"50",716,"labor",1,22
"51",612,"labor",1,22
"52",968,"labor",1,22
"53",547,"labor",1,22
"54",79,"labor",1,22
"55",324,"labor",1,22
"56",725,"service",0,8
"57",669,"service",0,8
"58",579,"service",0,8
"59",384,"service",0,8
"60",122,"service",0,8
"61",698,"service",0,8
"62",616,"service",0,8
"63",823,"service",0,8
"64",626,"service",0,8
"65",473,"homemaker",1,7
"66",365,"homemaker",1,7
"67",710,"homemaker",1,7
"68",761,"consultency",0,6
"69",373,"consultency",0,6
"70",94,"consultency",0,6
"71",168,"consultency",0,6
"72",229,"consultency",0,6
"73",837,"consultency",0,6
"74",438,"consultency",0,6
"75",923,"consultency",0,6
"76",468,"hospital",1,22
"77",774,"hospital",1,22
"78",603,"hospital",1,22
"79",424,"law",0,24
"80",640,"law",0,24
"81",155,"law",0,24
"82",255,"law",0,24
"83",762,"law",0,24
